w2:4.3cm;l2:30.3cm;w1:4cm;l1:23.75cm;;;;;;;;;;;;;;;;;
1.85998;;;;;;;;;;;;;;;;;;;;
1.87;;;;;;;;;;;;;;;;;;;;
1.87997;;;;;;;;;;;;;;;;;;;;
1.89001;;;;;;;;;;;;;;;;;;;;
1.9;;;;;;;;;;;;;;;;;;;;
1.90995;;;;;;;;;;;;;;;;;;;;
1.91997;;;;;;;;;;;;;;;;;;;;
1.93002;;;;;;;;;;;;;;;;;;;;
1.93997;;;;;;;;;;;;;;;;;;;;
1.94998;;;;;;;;;;;;;;;;;;;;
1.95997;;;;;;;;;;;;;;;;;;;;
1.96999;;;;;;;;;;;;;;;;;;;;
1.98002;;;;;;;;;;;;;;;;;;;;
1.99;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;
2.00999;;;;;;;;;;;;;;;;;;;;
2.02;;;;;;;;;;;;;;;;;;;;
2.03;;;;;;;;;;;;;;;;;;;;
2.04002;;;;;;;;;;;;;;;;;;;;
2.05;;;;;;;;;;;;;;;;;;;;
2.06;;;;;;;;;;;;;;;;;;;;
2.07001;;;;;;;;;;;;;;;;;;;;
2.08001;;;;;;;;;;;;;;;;;;;;
2.09001;;;;;;;;;;;;;;;;;;;;
2.10004;;;;;;;;;;;;;;;;;;;;
2.10997;;;;;;;;;;;;;;;;;;;;
2.11997;;;;;;;;;;;;;;;;;;;;
2.12998;;;;;;;;;;;;;;;;;;;;
2.14002;;;;;;;;;;;;;;;;;;;;
2.15002;;;;;;;;;;;;;;;;;;;;
2.15997;;;;;;;;;;;;;;;;;;;;
2.17002;;;;;;;;;;;;;;;;;;;;
2.18;;;;;;;;;;;;;;;;;;;;
2.18998;;;;;;;;;;;;;;;;;;;;
2.20001;;;;;;;;;;;;;;;;;;;;
2.21;;;;;;;;;;;;;;;;;;;;
2.21999;;;;;;;;;;;;;;;;;;;;
2.23003;;;;;;;;;;;;;;;;;;;;
2.24003;;;;;;;;;;;;;;;;;;;;
2.24996;;;;;;;;;;;;;;;;;;;;
2.25995;;;;;;;;;;;;;;;;;;;;
2.27002;;;;;;;;;;;;;;;;;;;;
2.27998;;;;;;;;;;;;;;;;;;;;
2.29003;;;;;;;;;;;;;;;;;;;;
2.30002;;;;;;;;;;;;;;;;;;;;
2.30996;;;;;;;;;;;;;;;;;;;;
2.33001;;;;;;;;;;;;;;;;;;;;
2.33997;;;;;;;;;;;;;;;;;;;;
2.35004;;;;;;;;;;;;;;;;;;;;
2.35996;;;;;;;;;;;;;;;;;;;;
2.36996;;;;;;;;;;;;;;;;;;;;
2.38003;;;;;;;;;;;;;;;;;;;;
2.39003;;;;;;;;;;;;;;;;;;;;
2.39998;;;;;;;;;;;;;;;;;;;;
2.40996;;;;;;;;;;;;;;;;;;;;
2.41997;;;;;;;;;;;;;;;;;;;;
2.43003;;;;;;;;;;;;;;;;;;;;
2.44002;;;;;;;;;;;;;;;;;;;;
2.45004;;;;;;;;;;;;;;;;;;;;
2.45996;;;;;;;;;;;;;;;;;;;;
2.47001;;;;;;;;;;;;;;;;;;;;
2.47999;;;;;;;;;;;;;;;;;;;;
2.49003;;;;;;;;;;;;;;;;;;;;
2.50002;;;;;;;;;;;;;;;;;;;;
2.50998;;;;;;;;;;;;;;;;;;;;
2.52003;;;;;;;;;;;;;;;;;;;;
2.53003;;;;;;;;;;;;;;;;;;;;
2.54003;;;;;;;;;;;;;;;;;;;;
2.55003;;;;;;;;;;;;;;;;;;;;
2.55998;;;;;;;;;;;;;;;;;;;;
2.57003;;;;;;;;;;;;;;;;;;;;
2.58002;;;;;;;;;;;;;;;;;;;;
2.58999;;;;;;;;;;;;;;;;;;;;
2.60003;;;;;;;;;;;;;;;;;;;;
2.61002;;;;;;;;;;;;;;;;;;;;
2.61998;;;;;;;;;;;;;;;;;;;;
2.63003;;;;;;;;;;;;;;;;;;;;
2.64002;;;;;;;;;;;;;;;;;;;;
2.64995;;;;;;;;;;;;;;;;;;;;
2.65997;;;;;;;;;;;;;;;;;;;;
2.67005;;;;;;;;;;;;;;;;;;;;
2.67997;;;;;;;;;;;;;;;;;;;;
2.69003;;;;;;;;;;;;;;;;;;;;
2.70001;;;;;;;;;;;;;;;;;;;;
2.70997;;;;;;;;;;;;;;;;;;;;
2.72;;;;;;;;;;;;;;;;;;;;
2.73001;;;;;;;;;;;;;;;;;;;;
2.73995;;;;;;;;;;;;;;;;;;;;
